# Data Source: https://www.kaggle.com/kimjihoo/coronavirusdataset/data?select=TimeProvince.csv 
# Data provenience: Korea Centers for Disease Control & Prevention 
# License: CC BY-NC-SA 4.0 
"time"	"cases"	"deaths"	"hospitalized"	"icu"	"recovered"
"2020-01-20"	0	0	NA	NA	0
"2020-01-21"	0	0	NA	NA	0
"2020-01-22"	0	0	NA	NA	0
"2020-01-23"	0	0	NA	NA	0
"2020-01-24"	0	0	NA	NA	0
"2020-01-25"	0	0	NA	NA	0
"2020-01-26"	0	0	NA	NA	0
"2020-01-27"	0	0	NA	NA	0
"2020-01-28"	0	0	NA	NA	0
"2020-01-29"	0	0	NA	NA	0
"2020-01-30"	0	0	NA	NA	0
"2020-01-31"	0	0	NA	NA	0
"2020-02-01"	0	0	NA	NA	0
"2020-02-02"	0	0	NA	NA	0
"2020-02-03"	0	0	NA	NA	0
"2020-02-04"	0	0	NA	NA	0
"2020-02-05"	0	0	NA	NA	0
"2020-02-06"	0	0	NA	NA	0
"2020-02-07"	0	0	NA	NA	0
"2020-02-08"	0	0	NA	NA	0
"2020-02-09"	0	0	NA	NA	0
"2020-02-10"	0	0	NA	NA	0
"2020-02-11"	0	0	NA	NA	0
"2020-02-12"	0	0	NA	NA	0
"2020-02-13"	0	0	NA	NA	0
"2020-02-14"	0	0	NA	NA	0
"2020-02-15"	0	0	NA	NA	0
"2020-02-16"	0	0	NA	NA	0
"2020-02-17"	0	0	NA	NA	0
"2020-02-18"	0	0	NA	NA	0
"2020-02-19"	0	0	NA	NA	0
"2020-02-20"	8	0	NA	NA	0
"2020-02-21"	8	0	NA	NA	0
"2020-02-22"	11	0	NA	NA	0
"2020-02-23"	19	0	NA	NA	0
"2020-02-24"	34	0	NA	NA	0
"2020-02-25"	42	0	NA	NA	0
"2020-02-26"	58	0	NA	NA	0
"2020-02-27"	61	0	NA	NA	0
"2020-02-28"	65	0	NA	NA	0
"2020-02-29"	80	0	NA	NA	0
"2020-03-01"	83	0	NA	NA	0
"2020-03-02"	88	0	NA	NA	1
"2020-03-03"	90	0	NA	NA	1
"2020-03-04"	92	0	NA	NA	2
"2020-03-05"	92	0	NA	NA	2
"2020-03-06"	95	0	NA	NA	2
"2020-03-07"	96	0	NA	NA	2
"2020-03-08"	96	0	NA	NA	9
"2020-03-09"	96	0	NA	NA	10
"2020-03-10"	96	0	NA	NA	10
"2020-03-11"	98	0	NA	NA	21
"2020-03-12"	99	0	NA	NA	29
"2020-03-13"	100	0	NA	NA	36
"2020-03-14"	103	0	NA	NA	40
"2020-03-15"	106	1	NA	NA	52
"2020-03-16"	107	1	NA	NA	53
"2020-03-17"	107	1	NA	NA	54
"2020-03-18"	107	1	NA	NA	58
"2020-03-19"	107	1	NA	NA	58
"2020-03-20"	108	1	NA	NA	60
"2020-03-21"	108	1	NA	NA	67
"2020-03-22"	108	1	NA	NA	69
"2020-03-23"	109	1	NA	NA	71
"2020-03-24"	111	1	NA	NA	71
"2020-03-25"	112	1	NA	NA	73
"2020-03-26"	112	2	NA	NA	75
"2020-03-27"	113	2	NA	NA	81
"2020-03-28"	114	2	NA	NA	81
"2020-03-29"	117	3	NA	NA	85
"2020-03-30"	118	3	NA	NA	87
"2020-03-31"	119	3	NA	NA	87
"2020-04-01"	122	3	NA	NA	87
"2020-04-02"	122	3	NA	NA	87
"2020-04-03"	122	3	NA	NA	88
"2020-04-04"	122	3	NA	NA	90
"2020-04-05"	122	3	NA	NA	90
"2020-04-06"	122	3	NA	NA	91
"2020-04-07"	123	3	NA	NA	91
"2020-04-08"	125	3	NA	NA	94
"2020-04-09"	125	3	NA	NA	97
"2020-04-10"	126	3	NA	NA	98
"2020-04-11"	126	3	NA	NA	100
"2020-04-12"	126	3	NA	NA	103
"2020-04-13"	126	3	NA	NA	103
"2020-04-14"	126	3	NA	NA	103
"2020-04-15"	127	3	NA	NA	107
"2020-04-16"	130	3	NA	NA	111
"2020-04-17"	130	3	NA	NA	112
"2020-04-18"	130	3	NA	NA	112
"2020-04-19"	130	3	NA	NA	115
"2020-04-20"	132	3	NA	NA	115
"2020-04-21"	132	3	NA	NA	115
"2020-04-22"	134	3	NA	NA	115
"2020-04-23"	135	3	NA	NA	116
"2020-04-24"	136	3	NA	NA	116
"2020-04-25"	136	3	NA	NA	116
"2020-04-26"	137	3	NA	NA	116
"2020-04-27"	137	3	NA	NA	117
"2020-04-28"	137	3	NA	NA	116
"2020-04-29"	137	3	NA	NA	116
"2020-04-30"	137	3	NA	NA	116
"2020-05-01"	137	3	NA	NA	116
"2020-05-02"	138	3	NA	NA	117
"2020-05-03"	138	3	NA	NA	117
"2020-05-04"	138	3	NA	NA	117
"2020-05-05"	138	3	NA	NA	117
"2020-05-06"	138	3	NA	NA	119
"2020-05-07"	138	3	NA	NA	120
