# Data Source: https://www.kaggle.com/kimjihoo/coronavirusdataset/data?select=TimeProvince.csv 
# Data provenience: Korea Centers for Disease Control & Prevention 
# License: CC BY-NC-SA 4.0 
"time"	"cases"	"deaths"	"hospitalized"	"icu"	"recovered"
"2020-01-20"	0	0	NA	NA	0
"2020-01-21"	0	0	NA	NA	0
"2020-01-22"	0	0	NA	NA	0
"2020-01-23"	0	0	NA	NA	0
"2020-01-24"	0	0	NA	NA	0
"2020-01-25"	0	0	NA	NA	0
"2020-01-26"	0	0	NA	NA	0
"2020-01-27"	0	0	NA	NA	0
"2020-01-28"	0	0	NA	NA	0
"2020-01-29"	0	0	NA	NA	0
"2020-01-30"	0	0	NA	NA	0
"2020-01-31"	0	0	NA	NA	0
"2020-02-01"	0	0	NA	NA	0
"2020-02-02"	0	0	NA	NA	0
"2020-02-03"	0	0	NA	NA	0
"2020-02-04"	0	0	NA	NA	0
"2020-02-05"	0	0	NA	NA	0
"2020-02-06"	0	0	NA	NA	0
"2020-02-07"	0	0	NA	NA	0
"2020-02-08"	0	0	NA	NA	0
"2020-02-09"	0	0	NA	NA	0
"2020-02-10"	0	0	NA	NA	0
"2020-02-11"	0	0	NA	NA	0
"2020-02-12"	0	0	NA	NA	0
"2020-02-13"	0	0	NA	NA	0
"2020-02-14"	0	0	NA	NA	0
"2020-02-15"	0	0	NA	NA	0
"2020-02-16"	0	0	NA	NA	0
"2020-02-17"	0	0	NA	NA	0
"2020-02-18"	1	0	NA	NA	0
"2020-02-19"	11	0	NA	NA	0
"2020-02-20"	30	0	NA	NA	0
"2020-02-21"	110	0	NA	NA	0
"2020-02-22"	193	0	NA	NA	0
"2020-02-23"	310	1	NA	NA	0
"2020-02-24"	483	2	NA	NA	0
"2020-02-25"	543	6	NA	NA	0
"2020-02-26"	710	6	NA	NA	1
"2020-02-27"	1132	6	NA	NA	2
"2020-02-28"	1580	6	NA	NA	3
"2020-02-29"	2236	10	NA	NA	3
"2020-03-01"	2704	11	NA	NA	6
"2020-03-02"	3081	15	NA	NA	7
"2020-03-03"	3601	21	NA	NA	9
"2020-03-04"	4007	25	NA	NA	11
"2020-03-05"	4328	27	NA	NA	14
"2020-03-06"	4694	30	NA	NA	15
"2020-03-07"	5084	31	NA	NA	18
"2020-03-08"	5381	35	NA	NA	18
"2020-03-09"	5571	35	NA	NA	21
"2020-03-10"	5663	38	NA	NA	92
"2020-03-11"	5794	44	NA	NA	102
"2020-03-12"	5867	48	NA	NA	114
"2020-03-13"	5928	48	NA	NA	251
"2020-03-14"	5990	51	NA	NA	401
"2020-03-15"	6031	53	NA	NA	468
"2020-03-16"	6066	53	NA	NA	734
"2020-03-17"	6098	57	NA	NA	947
"2020-03-18"	6144	58	NA	NA	1048
"2020-03-19"	6241	65	NA	NA	1382
"2020-03-20"	6275	67	NA	NA	1577
"2020-03-21"	6344	73	NA	NA	1861
"2020-03-22"	6387	75	NA	NA	2107
"2020-03-23"	6411	82	NA	NA	2305
"2020-03-24"	6442	88	NA	NA	2571
"2020-03-25"	6456	92	NA	NA	2740
"2020-03-26"	6482	94	NA	NA	3039
"2020-03-27"	6516	98	NA	NA	3324
"2020-03-28"	6587	101	NA	NA	3543
"2020-03-29"	6610	106	NA	NA	3706
"2020-03-30"	6624	111	NA	NA	3837
"2020-03-31"	6684	114	NA	NA	3946
"2020-04-01"	6704	115	NA	NA	4070
"2020-04-02"	6725	117	NA	NA	4283
"2020-04-03"	6734	121	NA	NA	4434
"2020-04-04"	6761	122	NA	NA	4673
"2020-04-05"	6768	127	NA	NA	4773
"2020-04-06"	6781	129	NA	NA	4865
"2020-04-07"	6794	134	NA	NA	4918
"2020-04-08"	6803	137	NA	NA	4961
"2020-04-09"	6807	139	NA	NA	5106
"2020-04-10"	6807	142	NA	NA	5193
"2020-04-11"	6814	145	NA	NA	5271
"2020-04-12"	6816	146	NA	NA	5356
"2020-04-13"	6819	147	NA	NA	5395
"2020-04-14"	6822	152	NA	NA	5440
"2020-04-15"	6823	155	NA	NA	5486
"2020-04-16"	6827	158	NA	NA	5586
"2020-04-17"	6827	159	NA	NA	5626
"2020-04-18"	6830	160	NA	NA	5685
"2020-04-19"	6832	161	NA	NA	5743
"2020-04-20"	6833	163	NA	NA	5769
"2020-04-21"	6835	164	NA	NA	5793
"2020-04-22"	6836	165	NA	NA	5827
"2020-04-23"	6840	166	NA	NA	5890
"2020-04-24"	6842	166	NA	NA	5931
"2020-04-25"	6845	166	NA	NA	5974
"2020-04-26"	6846	168	NA	NA	6018
"2020-04-27"	6847	169	NA	NA	6040
"2020-04-28"	6849	170	NA	NA	6056
"2020-04-29"	6852	171	NA	NA	6075
"2020-04-30"	6852	172	NA	NA	6144
"2020-05-01"	6852	172	NA	NA	6144
