# Data Source: https://www.kaggle.com/kimjihoo/coronavirusdataset/data?select=TimeProvince.csv 
# Data provenience: Korea Centers for Disease Control & Prevention 
# License: CC BY-NC-SA 4.0 
"time"	"cases"	"deaths"	"hospitalized"	"icu"	"recovered"
"2020-01-20"	0	0	NA	NA	0
"2020-01-21"	0	0	NA	NA	0
"2020-01-22"	0	0	NA	NA	0
"2020-01-23"	0	0	NA	NA	0
"2020-01-24"	0	0	NA	NA	0
"2020-01-25"	0	0	NA	NA	0
"2020-01-26"	0	0	NA	NA	0
"2020-01-27"	0	0	NA	NA	0
"2020-01-28"	0	0	NA	NA	0
"2020-01-29"	0	0	NA	NA	0
"2020-01-30"	0	0	NA	NA	0
"2020-01-31"	0	0	NA	NA	0
"2020-02-01"	0	0	NA	NA	0
"2020-02-02"	0	0	NA	NA	0
"2020-02-03"	0	0	NA	NA	0
"2020-02-04"	0	0	NA	NA	0
"2020-02-05"	0	0	NA	NA	0
"2020-02-06"	0	0	NA	NA	0
"2020-02-07"	0	0	NA	NA	0
"2020-02-08"	0	0	NA	NA	0
"2020-02-09"	0	0	NA	NA	0
"2020-02-10"	0	0	NA	NA	0
"2020-02-11"	0	0	NA	NA	0
"2020-02-12"	0	0	NA	NA	0
"2020-02-13"	0	0	NA	NA	0
"2020-02-14"	0	0	NA	NA	0
"2020-02-15"	0	0	NA	NA	0
"2020-02-16"	0	0	NA	NA	0
"2020-02-17"	0	0	NA	NA	0
"2020-02-18"	0	0	NA	NA	0
"2020-02-19"	0	0	NA	NA	0
"2020-02-20"	0	0	NA	NA	0
"2020-02-21"	0	0	NA	NA	0
"2020-02-22"	2	0	NA	NA	0
"2020-02-23"	3	0	NA	NA	0
"2020-02-24"	3	0	NA	NA	0
"2020-02-25"	3	0	NA	NA	0
"2020-02-26"	5	0	NA	NA	0
"2020-02-27"	9	0	NA	NA	0
"2020-02-28"	13	0	NA	NA	0
"2020-02-29"	13	0	NA	NA	0
"2020-03-01"	13	0	NA	NA	0
"2020-03-02"	14	0	NA	NA	0
"2020-03-03"	14	0	NA	NA	0
"2020-03-04"	15	0	NA	NA	0
"2020-03-05"	16	0	NA	NA	0
"2020-03-06"	18	0	NA	NA	0
"2020-03-07"	18	0	NA	NA	0
"2020-03-08"	18	0	NA	NA	1
"2020-03-09"	18	0	NA	NA	1
"2020-03-10"	18	0	NA	NA	1
"2020-03-11"	18	0	NA	NA	2
"2020-03-12"	20	0	NA	NA	2
"2020-03-13"	22	0	NA	NA	4
"2020-03-14"	22	0	NA	NA	4
"2020-03-15"	22	0	NA	NA	4
"2020-03-16"	22	0	NA	NA	4
"2020-03-17"	22	0	NA	NA	4
"2020-03-18"	22	0	NA	NA	4
"2020-03-19"	22	0	NA	NA	4
"2020-03-20"	22	0	NA	NA	5
"2020-03-21"	22	0	NA	NA	5
"2020-03-22"	24	0	NA	NA	6
"2020-03-23"	24	0	NA	NA	6
"2020-03-24"	24	0	NA	NA	6
"2020-03-25"	24	0	NA	NA	6
"2020-03-26"	30	0	NA	NA	6
"2020-03-27"	31	0	NA	NA	9
"2020-03-28"	31	0	NA	NA	10
"2020-03-29"	34	0	NA	NA	14
"2020-03-30"	34	0	NA	NA	17
"2020-03-31"	36	0	NA	NA	18
"2020-04-01"	36	0	NA	NA	18
"2020-04-02"	36	0	NA	NA	18
"2020-04-03"	36	0	NA	NA	18
"2020-04-04"	36	0	NA	NA	18
"2020-04-05"	37	0	NA	NA	18
"2020-04-06"	39	0	NA	NA	19
"2020-04-07"	39	0	NA	NA	20
"2020-04-08"	39	0	NA	NA	20
"2020-04-09"	39	0	NA	NA	20
"2020-04-10"	39	0	NA	NA	21
"2020-04-11"	39	0	NA	NA	22
"2020-04-12"	39	0	NA	NA	23
"2020-04-13"	39	0	NA	NA	23
"2020-04-14"	39	0	NA	NA	24
"2020-04-15"	39	0	NA	NA	24
"2020-04-16"	39	0	NA	NA	25
"2020-04-17"	40	0	NA	NA	25
"2020-04-18"	39	0	NA	NA	25
"2020-04-19"	39	0	NA	NA	25
"2020-04-20"	39	0	NA	NA	26
"2020-04-21"	39	0	NA	NA	26
"2020-04-22"	40	0	NA	NA	27
"2020-04-23"	40	0	NA	NA	29
"2020-04-24"	40	0	NA	NA	30
"2020-04-25"	40	0	NA	NA	32
"2020-04-26"	40	0	NA	NA	34
"2020-04-27"	40	0	NA	NA	34
"2020-04-28"	40	0	NA	NA	35
"2020-04-29"	40	0	NA	NA	35
"2020-04-30"	40	0	NA	NA	35
"2020-05-01"	40	0	NA	NA	35
"2020-05-02"	40	0	NA	NA	36
"2020-05-03"	40	0	NA	NA	36
"2020-05-04"	40	1	NA	NA	36
"2020-05-05"	40	1	NA	NA	36
"2020-05-06"	40	1	NA	NA	38
"2020-05-07"	41	1	NA	NA	38
