# Data Source: https://www.kaggle.com/kimjihoo/coronavirusdataset/data?select=TimeProvince.csv 
# Data provenience: Korea Centers for Disease Control & Prevention 
# License: CC BY-NC-SA 4.0 
"time"	"cases"	"deaths"	"hospitalized"	"icu"	"recovered"
"2020-01-20"	0	0	NA	NA	0
"2020-01-21"	0	0	NA	NA	0
"2020-01-22"	0	0	NA	NA	0
"2020-01-23"	0	0	NA	NA	0
"2020-01-24"	0	0	NA	NA	0
"2020-01-25"	0	0	NA	NA	0
"2020-01-26"	0	0	NA	NA	0
"2020-01-27"	0	0	NA	NA	0
"2020-01-28"	0	0	NA	NA	0
"2020-01-29"	0	0	NA	NA	0
"2020-01-30"	0	0	NA	NA	0
"2020-01-31"	0	0	NA	NA	0
"2020-02-01"	0	0	NA	NA	0
"2020-02-02"	0	0	NA	NA	0
"2020-02-03"	0	0	NA	NA	0
"2020-02-04"	0	0	NA	NA	0
"2020-02-05"	0	0	NA	NA	0
"2020-02-06"	0	0	NA	NA	0
"2020-02-07"	0	0	NA	NA	0
"2020-02-08"	0	0	NA	NA	0
"2020-02-09"	0	0	NA	NA	0
"2020-02-10"	0	0	NA	NA	0
"2020-02-11"	0	0	NA	NA	0
"2020-02-12"	0	0	NA	NA	0
"2020-02-13"	0	0	NA	NA	0
"2020-02-14"	0	0	NA	NA	0
"2020-02-15"	0	0	NA	NA	0
"2020-02-16"	0	0	NA	NA	0
"2020-02-17"	0	0	NA	NA	0
"2020-02-18"	0	0	NA	NA	0
"2020-02-19"	0	0	NA	NA	0
"2020-02-20"	0	0	NA	NA	0
"2020-02-21"	0	0	NA	NA	0
"2020-02-22"	6	0	NA	NA	0
"2020-02-23"	6	0	NA	NA	0
"2020-02-24"	6	0	NA	NA	0
"2020-02-25"	6	0	NA	NA	0
"2020-02-26"	6	0	NA	NA	0
"2020-02-27"	6	0	NA	NA	0
"2020-02-28"	7	0	NA	NA	0
"2020-02-29"	7	0	NA	NA	0
"2020-03-01"	15	0	NA	NA	0
"2020-03-02"	19	0	NA	NA	0
"2020-03-03"	20	0	NA	NA	0
"2020-03-04"	21	0	NA	NA	0
"2020-03-05"	23	0	NA	NA	3
"2020-03-06"	25	0	NA	NA	3
"2020-03-07"	26	1	NA	NA	3
"2020-03-08"	27	1	NA	NA	3
"2020-03-09"	28	1	NA	NA	3
"2020-03-10"	28	1	NA	NA	6
"2020-03-11"	29	1	NA	NA	6
"2020-03-12"	29	1	NA	NA	6
"2020-03-13"	29	1	NA	NA	6
"2020-03-14"	29	1	NA	NA	6
"2020-03-15"	29	1	NA	NA	7
"2020-03-16"	29	1	NA	NA	7
"2020-03-17"	29	1	NA	NA	8
"2020-03-18"	30	1	NA	NA	8
"2020-03-19"	30	1	NA	NA	9
"2020-03-20"	30	1	NA	NA	10
"2020-03-21"	30	1	NA	NA	12
"2020-03-22"	30	1	NA	NA	13
"2020-03-23"	30	1	NA	NA	14
"2020-03-24"	30	1	NA	NA	14
"2020-03-25"	31	1	NA	NA	15
"2020-03-26"	31	1	NA	NA	18
"2020-03-27"	31	1	NA	NA	20
"2020-03-28"	32	1	NA	NA	20
"2020-03-29"	34	1	NA	NA	21
"2020-03-30"	36	1	NA	NA	21
"2020-03-31"	36	1	NA	NA	23
"2020-04-01"	38	1	NA	NA	23
"2020-04-02"	39	1	NA	NA	23
"2020-04-03"	41	1	NA	NA	23
"2020-04-04"	42	1	NA	NA	23
"2020-04-05"	45	1	NA	NA	24
"2020-04-06"	45	1	NA	NA	23
"2020-04-07"	47	1	NA	NA	24
"2020-04-08"	49	1	NA	NA	24
"2020-04-09"	49	1	NA	NA	24
"2020-04-10"	49	1	NA	NA	26
"2020-04-11"	49	1	NA	NA	26
"2020-04-12"	49	1	NA	NA	27
"2020-04-13"	49	1	NA	NA	28
"2020-04-14"	49	1	NA	NA	29
"2020-04-15"	51	1	NA	NA	27
"2020-04-16"	52	1	NA	NA	27
"2020-04-17"	52	1	NA	NA	28
"2020-04-18"	53	1	NA	NA	28
"2020-04-19"	53	2	NA	NA	28
"2020-04-20"	53	2	NA	NA	28
"2020-04-21"	53	2	NA	NA	30
"2020-04-22"	53	2	NA	NA	31
"2020-04-23"	53	2	NA	NA	31
"2020-04-24"	53	2	NA	NA	31
"2020-04-25"	53	2	NA	NA	32
"2020-04-26"	53	2	NA	NA	34
"2020-04-27"	53	2	NA	NA	35
"2020-04-28"	53	2	NA	NA	37
"2020-04-29"	53	2	NA	NA	37
"2020-04-30"	53	2	NA	NA	40
"2020-05-01"	53	2	NA	NA	40
"2020-05-02"	53	2	NA	NA	42
"2020-05-03"	53	2	NA	NA	43
"2020-05-04"	53	2	NA	NA	42
"2020-05-05"	53	2	NA	NA	42
"2020-05-06"	53	2	NA	NA	42
"2020-05-07"	53	2	NA	NA	42
