# Data Source: https://www.kaggle.com/kimjihoo/coronavirusdataset/data?select=TimeProvince.csv 
# Data provenience: Korea Centers for Disease Control & Prevention 
# License: CC BY-NC-SA 4.0 
"time"	"cases"	"deaths"	"hospitalized"	"icu"	"recovered"
"2020-01-20"	0	0	NA	NA	0
"2020-01-21"	0	0	NA	NA	0
"2020-01-22"	0	0	NA	NA	0
"2020-01-23"	0	0	NA	NA	0
"2020-01-24"	0	0	NA	NA	0
"2020-01-25"	0	0	NA	NA	0
"2020-01-26"	0	0	NA	NA	0
"2020-01-27"	0	0	NA	NA	0
"2020-01-28"	0	0	NA	NA	0
"2020-01-29"	0	0	NA	NA	0
"2020-01-30"	0	0	NA	NA	0
"2020-01-31"	0	0	NA	NA	0
"2020-02-01"	0	0	NA	NA	0
"2020-02-02"	0	0	NA	NA	0
"2020-02-03"	0	0	NA	NA	0
"2020-02-04"	1	0	NA	NA	0
"2020-02-05"	1	0	NA	NA	0
"2020-02-06"	1	0	NA	NA	0
"2020-02-07"	1	0	NA	NA	0
"2020-02-08"	1	0	NA	NA	0
"2020-02-09"	1	0	NA	NA	0
"2020-02-10"	1	0	NA	NA	0
"2020-02-11"	1	0	NA	NA	0
"2020-02-12"	1	0	NA	NA	0
"2020-02-13"	1	0	NA	NA	0
"2020-02-14"	1	0	NA	NA	0
"2020-02-15"	1	0	NA	NA	0
"2020-02-16"	1	0	NA	NA	0
"2020-02-17"	1	0	NA	NA	0
"2020-02-18"	1	0	NA	NA	0
"2020-02-19"	1	0	NA	NA	0
"2020-02-20"	1	0	NA	NA	2
"2020-02-21"	3	0	NA	NA	2
"2020-02-22"	6	0	NA	NA	2
"2020-02-23"	8	0	NA	NA	2
"2020-02-24"	9	0	NA	NA	2
"2020-02-25"	9	0	NA	NA	2
"2020-02-26"	9	0	NA	NA	2
"2020-02-27"	9	0	NA	NA	2
"2020-02-28"	9	0	NA	NA	2
"2020-02-29"	9	0	NA	NA	2
"2020-03-01"	9	0	NA	NA	2
"2020-03-02"	9	0	NA	NA	2
"2020-03-03"	11	0	NA	NA	2
"2020-03-04"	13	0	NA	NA	2
"2020-03-05"	13	0	NA	NA	3
"2020-03-06"	13	0	NA	NA	3
"2020-03-07"	13	0	NA	NA	3
"2020-03-08"	13	0	NA	NA	3
"2020-03-09"	15	0	NA	NA	3
"2020-03-10"	15	0	NA	NA	3
"2020-03-11"	15	0	NA	NA	3
"2020-03-12"	15	0	NA	NA	4
"2020-03-13"	15	0	NA	NA	4
"2020-03-14"	15	0	NA	NA	4
"2020-03-15"	16	0	NA	NA	4
"2020-03-16"	16	0	NA	NA	4
"2020-03-17"	16	0	NA	NA	6
"2020-03-18"	17	0	NA	NA	6
"2020-03-19"	17	0	NA	NA	7
"2020-03-20"	18	0	NA	NA	10
"2020-03-21"	18	0	NA	NA	10
"2020-03-22"	19	0	NA	NA	10
"2020-03-23"	19	0	NA	NA	10
"2020-03-24"	19	0	NA	NA	11
"2020-03-25"	19	0	NA	NA	11
"2020-03-26"	19	0	NA	NA	11
"2020-03-27"	20	0	NA	NA	11
"2020-03-28"	20	0	NA	NA	11
"2020-03-29"	20	0	NA	NA	11
"2020-03-30"	20	0	NA	NA	13
"2020-03-31"	20	0	NA	NA	14
"2020-04-01"	24	0	NA	NA	14
"2020-04-02"	25	0	NA	NA	14
"2020-04-03"	26	0	NA	NA	15
"2020-04-04"	26	0	NA	NA	15
"2020-04-05"	27	0	NA	NA	15
"2020-04-06"	27	0	NA	NA	15
"2020-04-07"	27	0	NA	NA	15
"2020-04-08"	27	0	NA	NA	15
"2020-04-09"	27	0	NA	NA	15
"2020-04-10"	27	0	NA	NA	15
"2020-04-11"	27	0	NA	NA	17
"2020-04-12"	27	0	NA	NA	19
"2020-04-13"	27	0	NA	NA	19
"2020-04-14"	27	0	NA	NA	21
"2020-04-15"	28	0	NA	NA	21
"2020-04-16"	28	0	NA	NA	22
"2020-04-17"	30	0	NA	NA	22
"2020-04-18"	30	0	NA	NA	22
"2020-04-19"	30	0	NA	NA	22
"2020-04-20"	30	0	NA	NA	22
"2020-04-21"	30	0	NA	NA	22
"2020-04-22"	30	0	NA	NA	22
"2020-04-23"	30	0	NA	NA	24
"2020-04-24"	30	0	NA	NA	24
"2020-04-25"	30	0	NA	NA	25
"2020-04-26"	30	0	NA	NA	25
"2020-04-27"	30	0	NA	NA	25
"2020-04-28"	30	0	NA	NA	25
"2020-04-29"	30	0	NA	NA	26
"2020-04-30"	30	0	NA	NA	27
"2020-05-01"	30	0	NA	NA	27
"2020-05-02"	30	0	NA	NA	28
"2020-05-03"	30	0	NA	NA	28
"2020-05-04"	30	0	NA	NA	28
"2020-05-05"	30	0	NA	NA	28
"2020-05-06"	30	0	NA	NA	28
"2020-05-07"	30	0	NA	NA	28
