# Data Source: https://www.kaggle.com/kimjihoo/coronavirusdataset/data?select=TimeProvince.csv 
# Data provenience: Korea Centers for Disease Control & Prevention 
# License: CC BY-NC-SA 4.0 
"time"	"cases"	"deaths"	"hospitalized"	"icu"	"recovered"
"2020-01-20"	0	0	NA	NA	0
"2020-01-21"	0	0	NA	NA	0
"2020-01-22"	0	0	NA	NA	0
"2020-01-23"	0	0	NA	NA	0
"2020-01-24"	1	0	NA	NA	0
"2020-01-25"	1	0	NA	NA	0
"2020-01-26"	2	0	NA	NA	0
"2020-01-27"	2	0	NA	NA	0
"2020-01-28"	2	0	NA	NA	0
"2020-01-29"	2	0	NA	NA	0
"2020-01-30"	3	0	NA	NA	0
"2020-01-31"	5	0	NA	NA	0
"2020-02-01"	6	0	NA	NA	0
"2020-02-02"	8	0	NA	NA	0
"2020-02-03"	8	0	NA	NA	0
"2020-02-04"	8	0	NA	NA	0
"2020-02-05"	10	0	NA	NA	0
"2020-02-06"	10	0	NA	NA	0
"2020-02-07"	10	0	NA	NA	0
"2020-02-08"	10	0	NA	NA	0
"2020-02-09"	10	0	NA	NA	1
"2020-02-10"	10	0	NA	NA	1
"2020-02-11"	12	0	NA	NA	3
"2020-02-12"	12	0	NA	NA	3
"2020-02-13"	12	0	NA	NA	5
"2020-02-14"	12	0	NA	NA	5
"2020-02-15"	12	0	NA	NA	5
"2020-02-16"	12	0	NA	NA	5
"2020-02-17"	12	0	NA	NA	5
"2020-02-18"	12	0	NA	NA	5
"2020-02-19"	12	0	NA	NA	7
"2020-02-20"	12	0	NA	NA	7
"2020-02-21"	14	0	NA	NA	7
"2020-02-22"	20	0	NA	NA	7
"2020-02-23"	24	0	NA	NA	7
"2020-02-24"	35	0	NA	NA	7
"2020-02-25"	42	0	NA	NA	8
"2020-02-26"	51	1	NA	NA	8
"2020-02-27"	62	1	NA	NA	8
"2020-02-28"	72	1	NA	NA	8
"2020-02-29"	82	1	NA	NA	8
"2020-03-01"	89	1	NA	NA	8
"2020-03-02"	92	1	NA	NA	8
"2020-03-03"	94	1	NA	NA	8
"2020-03-04"	101	1	NA	NA	9
"2020-03-05"	110	1	NA	NA	10
"2020-03-06"	120	1	NA	NA	14
"2020-03-07"	130	1	NA	NA	14
"2020-03-08"	141	1	NA	NA	16
"2020-03-09"	153	1	NA	NA	22
"2020-03-10"	163	1	NA	NA	22
"2020-03-11"	175	1	NA	NA	25
"2020-03-12"	178	1	NA	NA	27
"2020-03-13"	185	2	NA	NA	31
"2020-03-14"	200	3	NA	NA	36
"2020-03-15"	211	3	NA	NA	40
"2020-03-16"	231	3	NA	NA	48
"2020-03-17"	262	3	NA	NA	55
"2020-03-18"	277	3	NA	NA	59
"2020-03-19"	295	3	NA	NA	64
"2020-03-20"	309	3	NA	NA	66
"2020-03-21"	321	3	NA	NA	79
"2020-03-22"	337	3	NA	NA	82
"2020-03-23"	351	3	NA	NA	88
"2020-03-24"	366	4	NA	NA	97
"2020-03-25"	387	4	NA	NA	100
"2020-03-26"	401	4	NA	NA	122
"2020-03-27"	412	4	NA	NA	131
"2020-03-28"	433	5	NA	NA	140
"2020-03-29"	448	5	NA	NA	144
"2020-03-30"	463	5	NA	NA	160
"2020-03-31"	476	6	NA	NA	166
"2020-04-01"	499	6	NA	NA	171
"2020-04-02"	516	6	NA	NA	181
"2020-04-03"	539	6	NA	NA	186
"2020-04-04"	562	6	NA	NA	200
"2020-04-05"	572	7	NA	NA	208
"2020-04-06"	580	7	NA	NA	213
"2020-04-07"	590	7	NA	NA	226
"2020-04-08"	596	10	NA	NA	237
"2020-04-09"	606	11	NA	NA	259
"2020-04-10"	615	11	NA	NA	269
"2020-04-11"	624	11	NA	NA	286
"2020-04-12"	628	12	NA	NA	292
"2020-04-13"	631	13	NA	NA	305
"2020-04-14"	639	13	NA	NA	313
"2020-04-15"	645	13	NA	NA	322
"2020-04-16"	649	14	NA	NA	330
"2020-04-17"	650	14	NA	NA	340
"2020-04-18"	654	14	NA	NA	361
"2020-04-19"	654	14	NA	NA	370
"2020-04-20"	656	14	NA	NA	387
"2020-04-21"	658	14	NA	NA	398
"2020-04-22"	658	14	NA	NA	404
"2020-04-23"	659	14	NA	NA	424
"2020-04-24"	660	14	NA	NA	441
"2020-04-25"	662	14	NA	NA	448
"2020-04-26"	668	14	NA	NA	463
"2020-04-27"	671	14	NA	NA	470
"2020-04-28"	674	14	NA	NA	475
"2020-04-29"	676	15	NA	NA	481
"2020-04-30"	676	15	NA	NA	486
"2020-05-01"	678	16	NA	NA	488
"2020-05-02"	678	16	NA	NA	498
"2020-05-03"	680	16	NA	NA	510
"2020-05-04"	681	16	NA	NA	515
"2020-05-05"	681	16	NA	NA	518
"2020-05-06"	681	16	NA	NA	525
"2020-05-07"	682	16	NA	NA	538
