# Data Source: https://www.kaggle.com/kimjihoo/coronavirusdataset/data?select=TimeProvince.csv 
# Data provenience: Korea Centers for Disease Control & Prevention 
# License: CC BY-NC-SA 4.0 
"time"	"cases"	"deaths"	"hospitalized"	"icu"	"recovered"
"2020-01-20"	0	0	NA	NA	0
"2020-01-21"	0	0	NA	NA	0
"2020-01-22"	0	0	NA	NA	0
"2020-01-23"	0	0	NA	NA	0
"2020-01-24"	0	0	NA	NA	0
"2020-01-25"	0	0	NA	NA	0
"2020-01-26"	0	0	NA	NA	0
"2020-01-27"	0	0	NA	NA	0
"2020-01-28"	0	0	NA	NA	0
"2020-01-29"	0	0	NA	NA	0
"2020-01-30"	0	0	NA	NA	0
"2020-01-31"	0	0	NA	NA	0
"2020-02-01"	0	0	NA	NA	0
"2020-02-02"	0	0	NA	NA	0
"2020-02-03"	0	0	NA	NA	0
"2020-02-04"	0	0	NA	NA	0
"2020-02-05"	0	0	NA	NA	0
"2020-02-06"	0	0	NA	NA	0
"2020-02-07"	0	0	NA	NA	0
"2020-02-08"	0	0	NA	NA	0
"2020-02-09"	0	0	NA	NA	1
"2020-02-10"	0	0	NA	NA	1
"2020-02-11"	0	0	NA	NA	1
"2020-02-12"	0	0	NA	NA	1
"2020-02-13"	0	0	NA	NA	1
"2020-02-14"	0	0	NA	NA	1
"2020-02-15"	0	0	NA	NA	1
"2020-02-16"	0	0	NA	NA	1
"2020-02-17"	0	0	NA	NA	1
"2020-02-18"	0	0	NA	NA	1
"2020-02-19"	2	0	NA	NA	1
"2020-02-20"	25	1	NA	NA	1
"2020-02-21"	28	1	NA	NA	1
"2020-02-22"	145	3	NA	NA	1
"2020-02-23"	170	3	NA	NA	1
"2020-02-24"	193	6	NA	NA	1
"2020-02-25"	249	6	NA	NA	1
"2020-02-26"	317	6	NA	NA	1
"2020-02-27"	345	6	NA	NA	1
"2020-02-28"	409	6	NA	NA	1
"2020-02-29"	488	6	NA	NA	1
"2020-03-01"	556	6	NA	NA	1
"2020-03-02"	624	6	NA	NA	1
"2020-03-03"	685	6	NA	NA	1
"2020-03-04"	774	6	NA	NA	4
"2020-03-05"	861	6	NA	NA	23
"2020-03-06"	984	10	NA	NA	36
"2020-03-07"	1049	10	NA	NA	41
"2020-03-08"	1082	13	NA	NA	42
"2020-03-09"	1107	14	NA	NA	57
"2020-03-10"	1117	14	NA	NA	60
"2020-03-11"	1135	14	NA	NA	69
"2020-03-12"	1143	16	NA	NA	83
"2020-03-13"	1147	16	NA	NA	103
"2020-03-14"	1153	17	NA	NA	138
"2020-03-15"	1157	17	NA	NA	163
"2020-03-16"	1164	17	NA	NA	178
"2020-03-17"	1169	19	NA	NA	209
"2020-03-18"	1178	21	NA	NA	235
"2020-03-19"	1190	21	NA	NA	275
"2020-03-20"	1203	22	NA	NA	340
"2020-03-21"	1243	24	NA	NA	395
"2020-03-22"	1254	24	NA	NA	432
"2020-03-23"	1256	24	NA	NA	469
"2020-03-24"	1257	26	NA	NA	507
"2020-03-25"	1262	28	NA	NA	538
"2020-03-26"	1274	30	NA	NA	601
"2020-03-27"	1283	34	NA	NA	650
"2020-03-28"	1285	35	NA	NA	692
"2020-03-29"	1287	37	NA	NA	732
"2020-03-30"	1298	38	NA	NA	772
"2020-03-31"	1300	38	NA	NA	808
"2020-04-01"	1302	39	NA	NA	822
"2020-04-02"	1304	41	NA	NA	840
"2020-04-03"	1309	42	NA	NA	865
"2020-04-04"	1310	44	NA	NA	881
"2020-04-05"	1314	44	NA	NA	899
"2020-04-06"	1316	45	NA	NA	922
"2020-04-07"	1317	46	NA	NA	934
"2020-04-08"	1320	46	NA	NA	954
"2020-04-09"	1320	47	NA	NA	968
"2020-04-10"	1327	48	NA	NA	994
"2020-04-11"	1330	48	NA	NA	1004
"2020-04-12"	1333	49	NA	NA	1013
"2020-04-13"	1337	50	NA	NA	1020
"2020-04-14"	1342	50	NA	NA	1029
"2020-04-15"	1348	50	NA	NA	1035
"2020-04-16"	1352	50	NA	NA	1044
"2020-04-17"	1356	50	NA	NA	1037
"2020-04-18"	1358	51	NA	NA	1046
"2020-04-19"	1359	51	NA	NA	1057
"2020-04-20"	1361	51	NA	NA	1064
"2020-04-21"	1361	51	NA	NA	1072
"2020-04-22"	1363	51	NA	NA	1079
"2020-04-23"	1363	52	NA	NA	1091
"2020-04-24"	1364	52	NA	NA	1097
"2020-04-25"	1364	52	NA	NA	1104
"2020-04-26"	1364	52	NA	NA	1109
"2020-04-27"	1364	52	NA	NA	1114
"2020-04-28"	1365	52	NA	NA	1119
"2020-04-29"	1365	52	NA	NA	1133
"2020-04-30"	1365	52	NA	NA	1147
"2020-05-01"	1366	52	NA	NA	1149
"2020-05-02"	1366	52	NA	NA	1154
"2020-05-03"	1366	52	NA	NA	1165
