# Data Source: https://www.kaggle.com/kimjihoo/coronavirusdataset/data?select=TimeProvince.csv 
# Data provenience: Korea Centers for Disease Control & Prevention 
# License: CC BY-NC-SA 4.0 
"time"	"cases"	"deaths"	"hospitalized"	"icu"	"recovered"
"2020-01-20"	0	0	NA	NA	0
"2020-01-21"	0	0	NA	NA	0
"2020-01-22"	0	0	NA	NA	0
"2020-01-23"	0	0	NA	NA	0
"2020-01-24"	0	0	NA	NA	0
"2020-01-25"	0	0	NA	NA	0
"2020-01-26"	0	0	NA	NA	0
"2020-01-27"	0	0	NA	NA	0
"2020-01-28"	0	0	NA	NA	0
"2020-01-29"	0	0	NA	NA	0
"2020-01-30"	0	0	NA	NA	0
"2020-01-31"	0	0	NA	NA	0
"2020-02-01"	0	0	NA	NA	0
"2020-02-02"	0	0	NA	NA	0
"2020-02-03"	0	0	NA	NA	0
"2020-02-04"	0	0	NA	NA	0
"2020-02-05"	0	0	NA	NA	0
"2020-02-06"	0	0	NA	NA	0
"2020-02-07"	0	0	NA	NA	0
"2020-02-08"	0	0	NA	NA	0
"2020-02-09"	0	0	NA	NA	0
"2020-02-10"	0	0	NA	NA	0
"2020-02-11"	0	0	NA	NA	0
"2020-02-12"	0	0	NA	NA	0
"2020-02-13"	0	0	NA	NA	0
"2020-02-14"	0	0	NA	NA	0
"2020-02-15"	0	0	NA	NA	0
"2020-02-16"	0	0	NA	NA	0
"2020-02-17"	0	0	NA	NA	0
"2020-02-18"	0	0	NA	NA	0
"2020-02-19"	3	0	NA	NA	0
"2020-02-20"	3	0	NA	NA	0
"2020-02-21"	7	0	NA	NA	0
"2020-02-22"	7	0	NA	NA	0
"2020-02-23"	17	0	NA	NA	0
"2020-02-24"	20	0	NA	NA	0
"2020-02-25"	23	0	NA	NA	0
"2020-02-26"	34	0	NA	NA	0
"2020-02-27"	43	0	NA	NA	0
"2020-02-28"	49	0	NA	NA	1
"2020-02-29"	59	0	NA	NA	1
"2020-03-01"	63	0	NA	NA	1
"2020-03-02"	64	0	NA	NA	1
"2020-03-03"	64	0	NA	NA	1
"2020-03-04"	65	0	NA	NA	2
"2020-03-05"	74	0	NA	NA	3
"2020-03-06"	77	0	NA	NA	4
"2020-03-07"	82	0	NA	NA	4
"2020-03-08"	83	0	NA	NA	4
"2020-03-09"	83	0	NA	NA	9
"2020-03-10"	83	0	NA	NA	10
"2020-03-11"	84	0	NA	NA	10
"2020-03-12"	85	0	NA	NA	10
"2020-03-13"	85	0	NA	NA	11
"2020-03-14"	85	0	NA	NA	11
"2020-03-15"	85	0	NA	NA	16
"2020-03-16"	85	0	NA	NA	20
"2020-03-17"	86	0	NA	NA	22
"2020-03-18"	86	0	NA	NA	23
"2020-03-19"	86	0	NA	NA	29
"2020-03-20"	87	0	NA	NA	33
"2020-03-21"	87	0	NA	NA	40
"2020-03-22"	88	0	NA	NA	42
"2020-03-23"	89	0	NA	NA	45
"2020-03-24"	90	0	NA	NA	48
"2020-03-25"	90	0	NA	NA	51
"2020-03-26"	90	0	NA	NA	57
"2020-03-27"	91	0	NA	NA	62
"2020-03-28"	91	0	NA	NA	63
"2020-03-29"	94	0	NA	NA	64
"2020-03-30"	95	0	NA	NA	65
"2020-03-31"	96	0	NA	NA	67
"2020-04-01"	100	0	NA	NA	67
"2020-04-02"	106	0	NA	NA	70
"2020-04-03"	107	0	NA	NA	71
"2020-04-04"	108	0	NA	NA	75
"2020-04-05"	109	0	NA	NA	77
"2020-04-06"	111	0	NA	NA	80
"2020-04-07"	112	0	NA	NA	80
"2020-04-08"	113	0	NA	NA	80
"2020-04-09"	115	0	NA	NA	82
"2020-04-10"	115	0	NA	NA	82
"2020-04-11"	115	0	NA	NA	83
"2020-04-12"	115	0	NA	NA	84
"2020-04-13"	115	0	NA	NA	84
"2020-04-14"	115	0	NA	NA	84
"2020-04-15"	115	0	NA	NA	84
"2020-04-16"	115	0	NA	NA	82
"2020-04-17"	115	0	NA	NA	84
"2020-04-18"	116	0	NA	NA	84
"2020-04-19"	116	0	NA	NA	85
"2020-04-20"	116	0	NA	NA	87
"2020-04-21"	116	0	NA	NA	88
"2020-04-22"	117	0	NA	NA	89
"2020-04-23"	117	0	NA	NA	89
"2020-04-24"	117	0	NA	NA	91
"2020-04-25"	117	0	NA	NA	91
"2020-04-26"	117	0	NA	NA	93
"2020-04-27"	117	0	NA	NA	94
"2020-04-28"	117	0	NA	NA	97
"2020-04-29"	117	0	NA	NA	97
"2020-04-30"	117	0	NA	NA	97
"2020-05-01"	117	0	NA	NA	98
"2020-05-02"	117	0	NA	NA	99
"2020-05-03"	117	0	NA	NA	100
"2020-05-04"	117	0	NA	NA	101
"2020-05-05"	117	0	NA	NA	102
"2020-05-06"	117	0	NA	NA	104
"2020-05-07"	117	0	NA	NA	105
