# Data Source: https://www.kaggle.com/kimjihoo/coronavirusdataset/data?select=TimeProvince.csv 
# Data provenience: Korea Centers for Disease Control & Prevention 
# License: CC BY-NC-SA 4.0 
"time"	"cases"	"deaths"	"hospitalized"	"icu"	"recovered"
"2020-01-20"	0	0	NA	NA	0
"2020-01-21"	0	0	NA	NA	0
"2020-01-22"	0	0	NA	NA	0
"2020-01-23"	0	0	NA	NA	0
"2020-01-24"	0	0	NA	NA	0
"2020-01-25"	0	0	NA	NA	0
"2020-01-26"	0	0	NA	NA	0
"2020-01-27"	0	0	NA	NA	0
"2020-01-28"	0	0	NA	NA	0
"2020-01-29"	0	0	NA	NA	0
"2020-01-30"	0	0	NA	NA	0
"2020-01-31"	1	0	NA	NA	0
"2020-02-01"	1	0	NA	NA	0
"2020-02-02"	1	0	NA	NA	0
"2020-02-03"	1	0	NA	NA	0
"2020-02-04"	1	0	NA	NA	0
"2020-02-05"	1	0	NA	NA	0
"2020-02-06"	1	0	NA	NA	0
"2020-02-07"	1	0	NA	NA	0
"2020-02-08"	1	0	NA	NA	0
"2020-02-09"	1	0	NA	NA	0
"2020-02-10"	1	0	NA	NA	0
"2020-02-11"	1	0	NA	NA	0
"2020-02-12"	1	0	NA	NA	0
"2020-02-13"	1	0	NA	NA	1
"2020-02-14"	1	0	NA	NA	1
"2020-02-15"	1	0	NA	NA	1
"2020-02-16"	1	0	NA	NA	1
"2020-02-17"	1	0	NA	NA	1
"2020-02-18"	1	0	NA	NA	1
"2020-02-19"	1	0	NA	NA	1
"2020-02-20"	1	0	NA	NA	1
"2020-02-21"	2	0	NA	NA	1
"2020-02-22"	3	0	NA	NA	1
"2020-02-23"	3	0	NA	NA	1
"2020-02-24"	3	0	NA	NA	1
"2020-02-25"	3	0	NA	NA	1
"2020-02-26"	3	0	NA	NA	1
"2020-02-27"	5	0	NA	NA	1
"2020-02-28"	5	0	NA	NA	1
"2020-02-29"	5	0	NA	NA	1
"2020-03-01"	6	0	NA	NA	1
"2020-03-02"	6	0	NA	NA	1
"2020-03-03"	7	0	NA	NA	1
"2020-03-04"	7	0	NA	NA	1
"2020-03-05"	7	0	NA	NA	2
"2020-03-06"	7	0	NA	NA	2
"2020-03-07"	7	0	NA	NA	2
"2020-03-08"	7	0	NA	NA	2
"2020-03-09"	7	0	NA	NA	2
"2020-03-10"	7	0	NA	NA	2
"2020-03-11"	7	0	NA	NA	2
"2020-03-12"	7	0	NA	NA	2
"2020-03-13"	7	0	NA	NA	4
"2020-03-14"	7	0	NA	NA	4
"2020-03-15"	7	0	NA	NA	4
"2020-03-16"	7	0	NA	NA	4
"2020-03-17"	7	0	NA	NA	4
"2020-03-18"	9	0	NA	NA	5
"2020-03-19"	10	0	NA	NA	5
"2020-03-20"	10	0	NA	NA	7
"2020-03-21"	10	0	NA	NA	7
"2020-03-22"	10	0	NA	NA	7
"2020-03-23"	10	0	NA	NA	7
"2020-03-24"	10	0	NA	NA	7
"2020-03-25"	10	0	NA	NA	7
"2020-03-26"	10	0	NA	NA	7
"2020-03-27"	10	0	NA	NA	7
"2020-03-28"	10	0	NA	NA	7
"2020-03-29"	12	0	NA	NA	7
"2020-03-30"	13	0	NA	NA	7
"2020-03-31"	13	0	NA	NA	7
"2020-04-01"	14	0	NA	NA	7
"2020-04-02"	14	0	NA	NA	7
"2020-04-03"	15	0	NA	NA	7
"2020-04-04"	15	0	NA	NA	7
"2020-04-05"	16	0	NA	NA	7
"2020-04-06"	16	0	NA	NA	7
"2020-04-07"	16	0	NA	NA	7
"2020-04-08"	17	0	NA	NA	7
"2020-04-09"	17	0	NA	NA	7
"2020-04-10"	17	0	NA	NA	8
"2020-04-11"	17	0	NA	NA	8
"2020-04-12"	17	0	NA	NA	8
"2020-04-13"	17	0	NA	NA	8
"2020-04-14"	17	0	NA	NA	8
"2020-04-15"	17	0	NA	NA	8
"2020-04-16"	17	0	NA	NA	9
"2020-04-17"	17	0	NA	NA	9
"2020-04-18"	17	0	NA	NA	9
"2020-04-19"	17	0	NA	NA	9
"2020-04-20"	17	0	NA	NA	9
"2020-04-21"	17	0	NA	NA	9
"2020-04-22"	17	0	NA	NA	9
"2020-04-23"	17	0	NA	NA	9
"2020-04-24"	17	0	NA	NA	11
"2020-04-25"	17	0	NA	NA	10
"2020-04-26"	18	0	NA	NA	10
"2020-04-27"	18	0	NA	NA	10
"2020-04-28"	18	0	NA	NA	10
"2020-04-29"	18	0	NA	NA	10
"2020-04-30"	18	0	NA	NA	11
"2020-05-01"	18	0	NA	NA	12
"2020-05-02"	18	0	NA	NA	12
"2020-05-03"	18	0	NA	NA	12
"2020-05-04"	18	0	NA	NA	12
"2020-05-05"	18	0	NA	NA	12
"2020-05-06"	18	0	NA	NA	12
"2020-05-07"	18	0	NA	NA	14
