# Data Source: https://www.kaggle.com/kimjihoo/coronavirusdataset/data?select=TimeProvince.csv 
# Data provenience: Korea Centers for Disease Control & Prevention 
# License: CC BY-NC-SA 4.0 
"time"	"cases"	"deaths"	"hospitalized"	"icu"	"recovered"
"2020-01-20"	0	0	NA	NA	0
"2020-01-21"	0	0	NA	NA	0
"2020-01-22"	0	0	NA	NA	0
"2020-01-23"	0	0	NA	NA	0
"2020-01-24"	0	0	NA	NA	0
"2020-01-25"	0	0	NA	NA	0
"2020-01-26"	0	0	NA	NA	0
"2020-01-27"	0	0	NA	NA	0
"2020-01-28"	0	0	NA	NA	0
"2020-01-29"	0	0	NA	NA	0
"2020-01-30"	0	0	NA	NA	0
"2020-01-31"	0	0	NA	NA	0
"2020-02-01"	0	0	NA	NA	0
"2020-02-02"	0	0	NA	NA	0
"2020-02-03"	0	0	NA	NA	0
"2020-02-04"	0	0	NA	NA	0
"2020-02-05"	0	0	NA	NA	0
"2020-02-06"	0	0	NA	NA	0
"2020-02-07"	0	0	NA	NA	0
"2020-02-08"	0	0	NA	NA	0
"2020-02-09"	0	0	NA	NA	0
"2020-02-10"	0	0	NA	NA	0
"2020-02-11"	0	0	NA	NA	0
"2020-02-12"	0	0	NA	NA	0
"2020-02-13"	0	0	NA	NA	0
"2020-02-14"	0	0	NA	NA	0
"2020-02-15"	0	0	NA	NA	0
"2020-02-16"	0	0	NA	NA	0
"2020-02-17"	0	0	NA	NA	0
"2020-02-18"	0	0	NA	NA	0
"2020-02-19"	0	0	NA	NA	0
"2020-02-20"	0	0	NA	NA	0
"2020-02-21"	0	0	NA	NA	0
"2020-02-22"	1	0	NA	NA	0
"2020-02-23"	1	0	NA	NA	0
"2020-02-24"	1	0	NA	NA	0
"2020-02-25"	1	0	NA	NA	0
"2020-02-26"	1	0	NA	NA	0
"2020-02-27"	1	0	NA	NA	0
"2020-02-28"	1	0	NA	NA	0
"2020-02-29"	3	0	NA	NA	0
"2020-03-01"	3	0	NA	NA	0
"2020-03-02"	5	0	NA	NA	0
"2020-03-03"	5	0	NA	NA	0
"2020-03-04"	4	0	NA	NA	0
"2020-03-05"	4	0	NA	NA	0
"2020-03-06"	4	0	NA	NA	0
"2020-03-07"	4	0	NA	NA	0
"2020-03-08"	4	0	NA	NA	0
"2020-03-09"	4	0	NA	NA	1
"2020-03-10"	4	0	NA	NA	1
"2020-03-11"	4	0	NA	NA	1
"2020-03-12"	4	0	NA	NA	1
"2020-03-13"	4	0	NA	NA	1
"2020-03-14"	4	0	NA	NA	2
"2020-03-15"	4	0	NA	NA	2
"2020-03-16"	4	0	NA	NA	2
"2020-03-17"	4	0	NA	NA	2
"2020-03-18"	5	0	NA	NA	2
"2020-03-19"	5	0	NA	NA	3
"2020-03-20"	5	0	NA	NA	3
"2020-03-21"	5	0	NA	NA	3
"2020-03-22"	6	0	NA	NA	3
"2020-03-23"	6	0	NA	NA	3
"2020-03-24"	6	0	NA	NA	3
"2020-03-25"	8	0	NA	NA	3
"2020-03-26"	8	0	NA	NA	3
"2020-03-27"	8	0	NA	NA	3
"2020-03-28"	8	0	NA	NA	3
"2020-03-29"	9	0	NA	NA	3
"2020-03-30"	9	0	NA	NA	3
"2020-03-31"	9	0	NA	NA	3
"2020-04-01"	12	0	NA	NA	3
"2020-04-02"	14	0	NA	NA	3
"2020-04-03"	15	0	NA	NA	3
"2020-04-04"	15	0	NA	NA	4
"2020-04-05"	15	0	NA	NA	4
"2020-04-06"	15	0	NA	NA	4
"2020-04-07"	15	0	NA	NA	4
"2020-04-08"	15	0	NA	NA	4
"2020-04-09"	15	0	NA	NA	4
"2020-04-10"	15	0	NA	NA	4
"2020-04-11"	15	0	NA	NA	5
"2020-04-12"	15	0	NA	NA	5
"2020-04-13"	15	0	NA	NA	6
"2020-04-14"	15	0	NA	NA	6
"2020-04-15"	15	0	NA	NA	7
"2020-04-16"	15	0	NA	NA	7
"2020-04-17"	15	0	NA	NA	7
"2020-04-18"	15	0	NA	NA	7
"2020-04-19"	15	0	NA	NA	8
"2020-04-20"	15	0	NA	NA	8
"2020-04-21"	15	0	NA	NA	8
"2020-04-22"	15	0	NA	NA	8
"2020-04-23"	15	0	NA	NA	8
"2020-04-24"	15	0	NA	NA	8
"2020-04-25"	15	0	NA	NA	8
"2020-04-26"	15	0	NA	NA	9
"2020-04-27"	15	0	NA	NA	9
"2020-04-28"	15	0	NA	NA	10
"2020-04-29"	15	0	NA	NA	10
"2020-04-30"	15	0	NA	NA	11
"2020-05-01"	15	0	NA	NA	12
"2020-05-02"	15	0	NA	NA	12
"2020-05-03"	15	0	NA	NA	12
"2020-05-04"	16	0	NA	NA	12
"2020-05-05"	16	0	NA	NA	12
"2020-05-06"	16	0	NA	NA	12
"2020-05-07"	16	0	NA	NA	12
