# Data Source: https://www.kaggle.com/kimjihoo/coronavirusdataset/data?select=TimeProvince.csv 
# Data provenience: Korea Centers for Disease Control & Prevention 
# License: CC BY-NC-SA 4.0 
"time"	"cases"	"deaths"	"hospitalized"	"icu"	"recovered"
"2020-01-20"	0	0	NA	NA	0
"2020-01-21"	0	0	NA	NA	0
"2020-01-22"	0	0	NA	NA	0
"2020-01-23"	0	0	NA	NA	0
"2020-01-24"	0	0	NA	NA	0
"2020-01-25"	0	0	NA	NA	0
"2020-01-26"	0	0	NA	NA	0
"2020-01-27"	0	0	NA	NA	0
"2020-01-28"	0	0	NA	NA	0
"2020-01-29"	0	0	NA	NA	0
"2020-01-30"	0	0	NA	NA	0
"2020-01-31"	0	0	NA	NA	0
"2020-02-01"	0	0	NA	NA	0
"2020-02-02"	0	0	NA	NA	0
"2020-02-03"	0	0	NA	NA	0
"2020-02-04"	0	0	NA	NA	0
"2020-02-05"	0	0	NA	NA	0
"2020-02-06"	0	0	NA	NA	0
"2020-02-07"	0	0	NA	NA	0
"2020-02-08"	0	0	NA	NA	0
"2020-02-09"	0	0	NA	NA	0
"2020-02-10"	0	0	NA	NA	0
"2020-02-11"	0	0	NA	NA	0
"2020-02-12"	0	0	NA	NA	0
"2020-02-13"	0	0	NA	NA	0
"2020-02-14"	0	0	NA	NA	0
"2020-02-15"	0	0	NA	NA	0
"2020-02-16"	0	0	NA	NA	0
"2020-02-17"	0	0	NA	NA	0
"2020-02-18"	0	0	NA	NA	0
"2020-02-19"	0	0	NA	NA	0
"2020-02-20"	0	0	NA	NA	0
"2020-02-21"	0	0	NA	NA	0
"2020-02-22"	1	0	NA	NA	0
"2020-02-23"	1	0	NA	NA	0
"2020-02-24"	1	0	NA	NA	0
"2020-02-25"	1	0	NA	NA	0
"2020-02-26"	1	0	NA	NA	0
"2020-02-27"	1	0	NA	NA	0
"2020-02-28"	1	0	NA	NA	0
"2020-02-29"	1	0	NA	NA	0
"2020-03-01"	1	0	NA	NA	0
"2020-03-02"	1	0	NA	NA	0
"2020-03-03"	1	0	NA	NA	0
"2020-03-04"	1	0	NA	NA	0
"2020-03-05"	1	0	NA	NA	0
"2020-03-06"	1	0	NA	NA	0
"2020-03-07"	2	0	NA	NA	0
"2020-03-08"	3	0	NA	NA	0
"2020-03-09"	6	0	NA	NA	0
"2020-03-10"	8	0	NA	NA	0
"2020-03-11"	10	0	NA	NA	0
"2020-03-12"	15	0	NA	NA	0
"2020-03-13"	32	0	NA	NA	0
"2020-03-14"	38	0	NA	NA	0
"2020-03-15"	39	0	NA	NA	0
"2020-03-16"	40	0	NA	NA	0
"2020-03-17"	40	0	NA	NA	0
"2020-03-18"	41	0	NA	NA	0
"2020-03-19"	41	0	NA	NA	0
"2020-03-20"	41	0	NA	NA	0
"2020-03-21"	41	0	NA	NA	2
"2020-03-22"	41	0	NA	NA	3
"2020-03-23"	42	0	NA	NA	3
"2020-03-24"	42	0	NA	NA	3
"2020-03-25"	44	0	NA	NA	3
"2020-03-26"	44	0	NA	NA	8
"2020-03-27"	44	0	NA	NA	9
"2020-03-28"	44	0	NA	NA	9
"2020-03-29"	46	0	NA	NA	11
"2020-03-30"	46	0	NA	NA	12
"2020-03-31"	46	0	NA	NA	12
"2020-04-01"	46	0	NA	NA	12
"2020-04-02"	46	0	NA	NA	12
"2020-04-03"	46	0	NA	NA	12
"2020-04-04"	46	0	NA	NA	15
"2020-04-05"	46	0	NA	NA	15
"2020-04-06"	46	0	NA	NA	17
"2020-04-07"	46	0	NA	NA	17
"2020-04-08"	46	0	NA	NA	14
"2020-04-09"	46	0	NA	NA	16
"2020-04-10"	46	0	NA	NA	20
"2020-04-11"	46	0	NA	NA	20
"2020-04-12"	46	0	NA	NA	22
"2020-04-13"	46	0	NA	NA	22
"2020-04-14"	46	0	NA	NA	21
"2020-04-15"	46	0	NA	NA	21
"2020-04-16"	46	0	NA	NA	21
"2020-04-17"	46	0	NA	NA	24
"2020-04-18"	46	0	NA	NA	25
"2020-04-19"	46	0	NA	NA	29
"2020-04-20"	46	0	NA	NA	29
"2020-04-21"	46	0	NA	NA	29
"2020-04-22"	46	0	NA	NA	33
"2020-04-23"	46	0	NA	NA	34
"2020-04-24"	46	0	NA	NA	34
"2020-04-25"	46	0	NA	NA	35
"2020-04-26"	46	0	NA	NA	35
"2020-04-27"	46	0	NA	NA	35
"2020-04-28"	46	0	NA	NA	35
"2020-04-29"	46	0	NA	NA	36
"2020-04-30"	46	0	NA	NA	38
"2020-05-01"	46	0	NA	NA	39
"2020-05-02"	46	0	NA	NA	41
"2020-05-03"	46	0	NA	NA	42
"2020-05-04"	46	0	NA	NA	44
"2020-05-05"	46	0	NA	NA	45
"2020-05-06"	46	0	NA	NA	45
"2020-05-07"	46	0	NA	NA	45
