# Data Source: https://www.kaggle.com/kimjihoo/coronavirusdataset/data?select=TimeProvince.csv 
# Data provenience: Korea Centers for Disease Control & Prevention 
# License: CC BY-NC-SA 4.0 
"time"	"cases"	"deaths"	"hospitalized"	"icu"	"recovered"
"2020-01-20"	0	0	NA	NA	0
"2020-01-21"	0	0	NA	NA	0
"2020-01-22"	0	0	NA	NA	0
"2020-01-23"	0	0	NA	NA	0
"2020-01-24"	0	0	NA	NA	0
"2020-01-25"	0	0	NA	NA	0
"2020-01-26"	0	0	NA	NA	0
"2020-01-27"	1	0	NA	NA	0
"2020-01-28"	1	0	NA	NA	0
"2020-01-29"	1	0	NA	NA	0
"2020-01-30"	3	0	NA	NA	0
"2020-01-31"	4	0	NA	NA	0
"2020-02-01"	4	0	NA	NA	0
"2020-02-02"	5	0	NA	NA	0
"2020-02-03"	5	0	NA	NA	0
"2020-02-04"	5	0	NA	NA	0
"2020-02-05"	5	0	NA	NA	1
"2020-02-06"	10	0	NA	NA	1
"2020-02-07"	11	0	NA	NA	1
"2020-02-08"	11	0	NA	NA	1
"2020-02-09"	14	0	NA	NA	1
"2020-02-10"	14	0	NA	NA	1
"2020-02-11"	14	0	NA	NA	2
"2020-02-12"	14	0	NA	NA	2
"2020-02-13"	14	0	NA	NA	2
"2020-02-14"	14	0	NA	NA	2
"2020-02-15"	14	0	NA	NA	2
"2020-02-16"	14	0	NA	NA	3
"2020-02-17"	14	0	NA	NA	3
"2020-02-18"	14	0	NA	NA	3
"2020-02-19"	20	0	NA	NA	3
"2020-02-20"	22	0	NA	NA	5
"2020-02-21"	27	0	NA	NA	5
"2020-02-22"	30	0	NA	NA	6
"2020-02-23"	31	0	NA	NA	6
"2020-02-24"	35	0	NA	NA	6
"2020-02-25"	41	0	NA	NA	8
"2020-02-26"	49	0	NA	NA	8
"2020-02-27"	56	0	NA	NA	8
"2020-02-28"	62	0	NA	NA	9
"2020-02-29"	77	0	NA	NA	9
"2020-03-01"	87	0	NA	NA	11
"2020-03-02"	91	0	NA	NA	12
"2020-03-03"	98	0	NA	NA	13
"2020-03-04"	99	0	NA	NA	19
"2020-03-05"	103	0	NA	NA	25
"2020-03-06"	105	0	NA	NA	25
"2020-03-07"	108	0	NA	NA	27
"2020-03-08"	120	0	NA	NA	28
"2020-03-09"	130	0	NA	NA	29
"2020-03-10"	141	0	NA	NA	31
"2020-03-11"	193	0	NA	NA	37
"2020-03-12"	212	0	NA	NA	38
"2020-03-13"	225	0	NA	NA	40
"2020-03-14"	238	0	NA	NA	44
"2020-03-15"	247	0	NA	NA	47
"2020-03-16"	253	0	NA	NA	52
"2020-03-17"	265	0	NA	NA	55
"2020-03-18"	270	0	NA	NA	55
"2020-03-19"	282	0	NA	NA	58
"2020-03-20"	299	0	NA	NA	64
"2020-03-21"	314	0	NA	NA	64
"2020-03-22"	324	0	NA	NA	64
"2020-03-23"	330	0	NA	NA	64
"2020-03-24"	334	0	NA	NA	72
"2020-03-25"	347	0	NA	NA	72
"2020-03-26"	360	0	NA	NA	80
"2020-03-27"	372	0	NA	NA	89
"2020-03-28"	390	0	NA	NA	93
"2020-03-29"	410	0	NA	NA	93
"2020-03-30"	426	0	NA	NA	92
"2020-03-31"	450	0	NA	NA	107
"2020-04-01"	474	0	NA	NA	117
"2020-04-02"	488	0	NA	NA	127
"2020-04-03"	506	0	NA	NA	131
"2020-04-04"	528	0	NA	NA	144
"2020-04-05"	552	0	NA	NA	145
"2020-04-06"	563	0	NA	NA	151
"2020-04-07"	567	0	NA	NA	164
"2020-04-08"	578	2	NA	NA	169
"2020-04-09"	590	2	NA	NA	174
"2020-04-10"	595	2	NA	NA	185
"2020-04-11"	599	2	NA	NA	195
"2020-04-12"	602	2	NA	NA	202
"2020-04-13"	610	2	NA	NA	214
"2020-04-14"	612	2	NA	NA	228
"2020-04-15"	617	2	NA	NA	239
"2020-04-16"	619	2	NA	NA	250
"2020-04-17"	621	2	NA	NA	268
"2020-04-18"	622	2	NA	NA	274
"2020-04-19"	624	2	NA	NA	288
"2020-04-20"	624	2	NA	NA	304
"2020-04-21"	626	2	NA	NA	315
"2020-04-22"	628	2	NA	NA	322
"2020-04-23"	628	2	NA	NA	342
"2020-04-24"	628	2	NA	NA	362
"2020-04-25"	629	2	NA	NA	383
"2020-04-26"	629	2	NA	NA	388
"2020-04-27"	629	2	NA	NA	393
"2020-04-28"	633	2	NA	NA	427
"2020-04-29"	633	2	NA	NA	437
"2020-04-30"	633	2	NA	NA	453
"2020-05-01"	634	2	NA	NA	455
"2020-05-02"	635	2	NA	NA	463
"2020-05-03"	637	2	NA	NA	473
"2020-05-04"	637	2	NA	NA	481
"2020-05-05"	637	2	NA	NA	489
"2020-05-06"	637	2	NA	NA	494
"2020-05-07"	637	2	NA	NA	508
