# Data Source: https://www.kaggle.com/kimjihoo/coronavirusdataset/data?select=TimeProvince.csv 
# Data provenience: Korea Centers for Disease Control & Prevention 
# License: CC BY-NC-SA 4.0 
"time"	"cases"	"deaths"	"hospitalized"	"icu"	"recovered"
"2020-01-20"	0	0	NA	NA	0
"2020-01-21"	0	0	NA	NA	0
"2020-01-22"	0	0	NA	NA	0
"2020-01-23"	0	0	NA	NA	0
"2020-01-24"	0	0	NA	NA	0
"2020-01-25"	0	0	NA	NA	0
"2020-01-26"	0	0	NA	NA	0
"2020-01-27"	0	0	NA	NA	0
"2020-01-28"	0	0	NA	NA	0
"2020-01-29"	0	0	NA	NA	0
"2020-01-30"	0	0	NA	NA	0
"2020-01-31"	0	0	NA	NA	0
"2020-02-01"	0	0	NA	NA	0
"2020-02-02"	0	0	NA	NA	0
"2020-02-03"	0	0	NA	NA	0
"2020-02-04"	0	0	NA	NA	0
"2020-02-05"	0	0	NA	NA	0
"2020-02-06"	0	0	NA	NA	0
"2020-02-07"	0	0	NA	NA	0
"2020-02-08"	0	0	NA	NA	0
"2020-02-09"	0	0	NA	NA	0
"2020-02-10"	0	0	NA	NA	0
"2020-02-11"	0	0	NA	NA	0
"2020-02-12"	0	0	NA	NA	0
"2020-02-13"	0	0	NA	NA	0
"2020-02-14"	0	0	NA	NA	0
"2020-02-15"	0	0	NA	NA	0
"2020-02-16"	0	0	NA	NA	0
"2020-02-17"	0	0	NA	NA	0
"2020-02-18"	0	0	NA	NA	0
"2020-02-19"	0	0	NA	NA	0
"2020-02-20"	0	0	NA	NA	0
"2020-02-21"	0	0	NA	NA	0
"2020-02-22"	1	0	NA	NA	0
"2020-02-23"	1	0	NA	NA	0
"2020-02-24"	2	0	NA	NA	0
"2020-02-25"	3	0	NA	NA	0
"2020-02-26"	4	0	NA	NA	0
"2020-02-27"	11	0	NA	NA	0
"2020-02-28"	14	0	NA	NA	0
"2020-02-29"	17	0	NA	NA	0
"2020-03-01"	20	0	NA	NA	0
"2020-03-02"	20	0	NA	NA	0
"2020-03-03"	20	0	NA	NA	0
"2020-03-04"	23	0	NA	NA	0
"2020-03-05"	23	0	NA	NA	0
"2020-03-06"	23	0	NA	NA	1
"2020-03-07"	23	0	NA	NA	1
"2020-03-08"	24	0	NA	NA	1
"2020-03-09"	24	0	NA	NA	1
"2020-03-10"	24	0	NA	NA	1
"2020-03-11"	25	0	NA	NA	2
"2020-03-12"	25	0	NA	NA	3
"2020-03-13"	27	0	NA	NA	3
"2020-03-14"	27	0	NA	NA	5
"2020-03-15"	28	0	NA	NA	6
"2020-03-16"	28	0	NA	NA	7
"2020-03-17"	28	0	NA	NA	8
"2020-03-18"	30	0	NA	NA	9
"2020-03-19"	36	0	NA	NA	9
"2020-03-20"	36	0	NA	NA	11
"2020-03-21"	36	0	NA	NA	11
"2020-03-22"	36	0	NA	NA	12
"2020-03-23"	36	0	NA	NA	17
"2020-03-24"	36	0	NA	NA	18
"2020-03-25"	37	0	NA	NA	19
"2020-03-26"	37	0	NA	NA	20
"2020-03-27"	39	0	NA	NA	20
"2020-03-28"	39	0	NA	NA	19
"2020-03-29"	39	0	NA	NA	19
"2020-03-30"	39	0	NA	NA	19
"2020-03-31"	39	0	NA	NA	19
"2020-04-01"	39	1	NA	NA	20
"2020-04-02"	40	1	NA	NA	21
"2020-04-03"	40	1	NA	NA	21
"2020-04-04"	40	1	NA	NA	24
"2020-04-05"	40	1	NA	NA	27
"2020-04-06"	40	1	NA	NA	27
"2020-04-07"	40	1	NA	NA	28
"2020-04-08"	40	1	NA	NA	28
"2020-04-09"	40	1	NA	NA	28
"2020-04-10"	40	1	NA	NA	28
"2020-04-11"	41	1	NA	NA	30
"2020-04-12"	41	1	NA	NA	32
"2020-04-13"	41	1	NA	NA	33
"2020-04-14"	42	1	NA	NA	33
"2020-04-15"	42	1	NA	NA	33
"2020-04-16"	42	1	NA	NA	34
"2020-04-17"	42	1	NA	NA	34
"2020-04-18"	42	1	NA	NA	34
"2020-04-19"	42	1	NA	NA	34
"2020-04-20"	43	1	NA	NA	34
"2020-04-21"	43	1	NA	NA	35
"2020-04-22"	43	1	NA	NA	35
"2020-04-23"	43	1	NA	NA	36
"2020-04-24"	43	1	NA	NA	36
"2020-04-25"	43	1	NA	NA	36
"2020-04-26"	43	1	NA	NA	36
"2020-04-27"	43	1	NA	NA	36
"2020-04-28"	43	1	NA	NA	36
"2020-04-29"	43	1	NA	NA	37
"2020-04-30"	43	1	NA	NA	37
"2020-05-01"	43	1	NA	NA	37
"2020-05-02"	43	1	NA	NA	37
"2020-05-03"	43	1	NA	NA	37
"2020-05-04"	44	1	NA	NA	37
"2020-05-05"	44	1	NA	NA	38
"2020-05-06"	44	1	NA	NA	37
"2020-05-07"	44	1	NA	NA	37
